0,1,2,3,4
67.39,-20.81,-84.79,4.99023,-0.26394
-65.72,94.19,-13.63,4.99023,-0.26394
103.49,-45.32,-16.19,5.09766,2.63936
50.87,36.57,20.51,5.01953,0.52787
-49.74,34.44,-4.06,5.00977,0.26394
-70.96,40.96,0.33,5.00000,0.00000
-63.03,63.64,-36.80,5.00977,0.26394
-41.14,93.34,-42.66,5.01953,0.52787
106.48,0.47,-37.17,4.98047,-0.52787
205.26,-36.42,-71.07,4.92187,-2.11149
-84.62,74.74,59.66,4.91211,-2.37542
54.95,7.18,-83.63,5.00977,0.26394
18.61,26.81,-18.39,4.97070,-0.79181
16.11,3.52,-73.88,5.03906,1.05574
54.53,-23.31,-69.79,5.00977,0.26394
57.03,19.92,-67.05,4.99023,-0.26394
95.32,-48.00,-70.40,5.07812,2.11149
63.73,-29.04,-88.39,5.02930,0.79181
55.08,-18.06,-75.95,5.02930,0.79181
28.43,40.47,-32.60,5.00977,0.26394
-25.29,88.46,-49.43,5.00977,0.26394
-90.66,1.57,3.68,5.10742,2.90329
-114.98,27.36,22.65,5.10742,2.90329
-65.72,95.78,-11.50,5.06836,1.84755
-21.02,99.31,-24.43,4.93164,-1.84755
-119.74,22.61,4.96,5.19531,5.27872
-83.09,73.89,19.72,5.34180,9.23775
-42.36,69.43,-4.79,5.00977,0.26394
-2.18,29.50,-35.52,5.18555,5.01478
146.29,64.56,-136.50,5.01953,0.52787
37.27,48.58,-42.41,5.00977,0.26394
49.95,-18.86,-48.14,5.02930,0.79181
15.93,15.47,-18.33,4.99023,-0.26394
-14.44,-22.09,-52.47,5.00000,0.00000
-138.95,62.73,13.74,4.99023,-0.26394
8.98,112.79,3.81,5.02930,0.79181
105.99,42.30,-58.63,5.00000,0.00000
103.79,-102.70,-59.12,4.89258,-2.90329
-82.00,72.85,44.23,5.00000,0.00000
30.93,-34.77,-55.10,4.99023,-0.26394
73.61,20.04,-86.92,5.00977,0.26394
-148.46,10.65,14.96,5.02930,0.79181
149.89,-54.59,-61.86,4.92187,-2.11149
-41.75,38.15,-0.16,5.00000,0.00000
59.77,-30.38,-64.06,5.04883,1.31968
26.78,-13.06,-15.89,5.04883,1.31968
54.22,-1.72,-17.47,4.99023,-0.26394
109.28,-27.09,-62.35,4.89258,-2.90329
-64.31,65.23,-16.93,5.04883,1.31968
-7.49,43.95,0.15,4.97070,-0.79181
118.00,-137.27,-27.96,5.04883,1.31968
-72.12,53.46,46.61,5.00977,0.26394
77.70,-73.98,-78.45,5.02930,0.79181
-102.48,81.51,-17.47,5.03906,1.05574
17.39,43.15,0.45,5.01953,0.52787
131.23,-28.74,-47.84,4.98047,-0.52787
-176.39,-8.74,17.83,5.00000,0.00000
134.65,-49.65,-153.51,4.99023,-0.26394
-115.41,60.78,13.32,5.10742,2.90329
72.76,29.68,-83.08,4.97070,-0.79181
-37.06,76.39,10.70,4.99023,-0.26394
63.98,-43.31,-21.99,5.00000,0.00000
-61.75,-40.93,9.60,5.12695,3.43117
161.84,-70.50,-47.35,4.98047,-0.52787
-59.86,162.60,26.37,4.96094,-1.05574
-32.91,-7.27,-51.50,4.97070,-0.79181
84.16,1.33,-61.01,4.92187,-2.11149
-35.90,41.63,6.12,4.99023,-0.26394
153.73,0.53,-128.45,4.98047,-0.52787
-120.59,82.91,2.71,4.97070,-0.79181
34.59,-43.67,-87.05,4.95117,-1.31968
-49.13,69.19,-15.77,5.03906,1.05574
115.62,-39.28,-82.60,4.92187,-2.11149
-23.77,72.73,-5.89,4.96094,-1.05574
65.87,-38.61,-76.92,4.99023,-0.26394
-71.81,47.79,-27.90,4.96094,-1.05574
127.57,-43.67,-116.80,4.97070,-0.79181
-107.55,43.70,16.98,4.96094,-1.05574
-1.33,55.11,-48.94,5.13672,3.69510
-225.53,30.90,-22.29,4.94141,-1.58361
33.12,2.36,-61.44,5.00000,0.00000
-74.50,25.59,18.62,4.87305,-3.43117
156.42,-117.58,-215.03,5.00977,0.26394
26.54,97.06,6.98,4.94141,-1.58361
-81.14,29.44,-17.78,4.92187,-2.11149
-111.08,47.24,23.01,5.10742,2.90329
-173.95,0.65,109.54,4.98047,-0.52787
38.06,-48.86,-59.30,5.00977,0.26394
22.27,60.78,-11.38,4.88281,-3.16723
61.17,64.74,-83.82,4.96094,-1.05574
-235.10,100.47,8.20,4.98047,-0.52787
8.25,-28.80,-8.02,4.97070,-0.79181
98.86,-53.00,-73.39,4.93164,-1.84755
-69.25,75.23,59.96,4.85352,-3.95904
44.47,-87.88,-74.55,4.95117,-1.31968
-222.61,98.89,51.98,4.99023,-0.26394
-11.33,30.29,-34.55,4.94141,-1.58361
51.48,-67.39,-74.42,4.90234,-2.63936
-36.27,43.03,7.59,4.99023,-0.26394
20.32,-15.93,-79.97,4.98047,-0.52787
-111.81,47.54,12.77,4.95117,-1.31968
-40.41,8.64,28.20,4.93164,-1.84755
61.11,-62.21,-62.05,4.98047,-0.52787
16.78,89.19,-37.78,4.98047,-0.52787
-93.34,40.41,-1.56,4.99023,-0.26394
59.28,-8.86,-64.12,4.96094,-1.05574
145.81,-72.21,-28.51,4.93164,-1.84755
-120.47,47.06,-1.07,4.84375,-4.22297
-11.51,59.98,-61.80,4.84375,-4.22297
91.96,-25.44,-55.22,4.86328,-3.69510
-67.55,40.47,-0.28,4.90234,-2.63936
0.50,-51.48,-51.25,4.90234,-2.63936
63.79,-87.45,-108.51,4.77539,-6.07052
-97.30,15.04,12.83,4.88281,-3.16723
97.27,-59.47,-77.17,4.84375,-4.22297
-88.89,85.71,-9.43,4.89258,-2.90329
46.48,10.17,-58.45,4.93164,-1.84755
61.36,3.03,-86.50,4.90234,-2.63936
-60.05,87.06,22.46,4.86328,-3.69510
90.32,-91.42,-51.74,4.89258,-2.90329
-22.55,-11.97,1.61,4.87305,-3.43117
73.31,60.47,-65.03,4.90234,-2.63936
105.56,-17.58,-84.18,4.90234,-2.63936
-30.84,74.62,44.29,4.89258,-2.90329
171.42,-46.42,-94.06,4.84375,-4.22297
-67.00,38.70,3.07,4.91211,-2.37542
163.98,-72.70,-69.12,4.92187,-2.11149
-76.75,96.63,6.00,4.88281,-3.16723
60.62,-66.42,-71.50,4.89258,-2.90329
-77.97,67.12,-45.10,4.98047,-0.52787
5.08,38.64,-31.99,4.92187,-2.11149
109.65,-47.88,-108.51,4.90234,-2.63936
-104.01,89.01,21.92,4.97070,-0.79181
83.00,-50.69,-102.78,4.88281,-3.16723
-29.62,-0.99,-7.90,4.89258,-2.90329
-22.24,-37.03,-1.86,4.89258,-2.90329
99.22,-43.92,-52.78,4.98047,-0.52787
-107.61,62.06,9.66,4.84375,-4.22297
105.68,-24.53,-108.21,4.90234,-2.63936
-74.01,95.53,-8.88,4.90234,-2.63936
-31.88,91.08,-12.41,4.94141,-1.58361
103.55,-68.12,-92.29,4.88281,-3.16723
-22.61,100.11,0.76,4.90234,-2.63936
150.56,-78.92,-35.22,4.89258,-2.90329
-79.07,32.54,-13.45,4.85352,-3.95904
63.49,46.02,-87.47,4.91211,-2.37542
-55.35,100.41,1.00,4.94141,-1.58361
45.50,20.29,-51.32,4.92187,-2.11149
67.09,-87.21,-4.36,4.84375,-4.22297
-51.88,22.36,-40.89,4.89258,-2.90329
-8.03,60.04,-29.73,4.93164,-1.84755
-11.27,40.11,-59.30,4.93164,-1.84755
-53.89,55.72,-8.21,4.91211,-2.37542
31.78,-40.56,-8.94,4.87305,-3.43117
57.64,-11.85,-102.41,4.81445,-5.01478
-74.07,53.58,-3.02,4.81445,-5.01478
31.90,3.83,-72.90,4.83398,-4.48691
-5.60,117.12,4.54,4.91211,-2.37542
22.39,-7.27,-16.07,4.98047,-0.52787
133.61,-50.44,-81.92,4.96094,-1.05574
-109.07,65.04,2.40,4.91211,-2.37542
134.65,2.73,-84.42,4.91211,-2.37542
16.84,-29.04,-81.99,4.91211,-2.37542
-201.02,41.33,5.33,4.94141,-1.58361
153.31,-94.71,-56.62,4.83398,-4.48691
-113.03,65.53,7.16,5.02930,0.79181
12.03,31.87,-73.27,5.02930,0.79181
37.27,7.85,-136.62,4.88281,-3.16723
-3.10,66.02,-39.61,5.00000,0.00000
103.25,-28.31,-78.02,4.92187,-2.11149
-65.11,86.39,3.44,4.86328,-3.69510
57.64,-78.31,-83.69,4.87305,-3.43117
-116.26,84.68,25.82,4.92187,-2.11149
17.94,-59.77,-43.27,4.89258,-2.90329
15.26,24.56,-41.25,4.86328,-3.69510
154.28,7.12,-61.01,5.00977,0.26394
-92.30,61.14,4.54,4.92187,-2.11149
50.56,42.54,-85.64,4.86328,-3.69510
-35.29,64.50,-17.35,4.92187,-2.11149
-7.30,61.87,-42.90,4.92187,-2.11149
-156.51,16.02,-70.46,4.98047,-0.52787
-2.42,50.90,-36.13,4.93164,-1.84755
68.92,-90.14,-65.83,4.92187,-2.11149
-83.83,25.78,3.68,4.93164,-1.84755
152.21,-75.56,-40.64,4.93164,-1.84755
-93.46,144.80,-10.40,4.93164,-1.84755
110.14,-26.91,-128.51,4.92187,-2.11149
-56.45,65.47,8.56,4.94141,-1.58361
-32.79,-46.17,5.45,4.98047,-0.52787
-126.63,94.74,-50.22,5.02930,0.79181
12.88,-23.74,-11.62,4.94141,-1.58361
93.37,-49.77,-76.44,4.96094,-1.05574
-43.64,131.20,-19.79,4.98047,-0.52787
87.27,-46.42,-60.71,5.03906,1.05574
-177.36,69.62,-2.78,5.00000,0.00000
122.09,-48.49,-79.30,4.96094,-1.05574
-97.91,41.51,21.24,4.93164,-1.84755
89.28,29.01,-78.51,5.00977,0.26394
-50.66,105.96,-24.85,4.87305,-3.43117
-35.17,45.41,-24.55,4.93164,-1.84755
73.86,-20.38,-80.22,4.89258,-2.90329
-65.66,2.91,-10.22,4.94141,-1.58361
61.97,-107.27,-0.65,4.93164,-1.84755
14.04,86.69,-1.80,4.89258,-2.90329
-106.63,106.51,-15.40,4.88281,-3.16723
86.42,-3.06,-99.06,4.92187,-2.11149
-37.61,113.76,-12.66,5.13672,3.69510
1.54,-14.65,-40.77,4.94141,-1.58361
83.73,6.94,-134.97,4.90234,-2.63936
-104.62,158.03,-28.45,4.94141,-1.58361
104.83,-31.66,-78.33,4.87305,-3.43117
-66.75,22.48,13.62,4.85352,-3.95904
-24.50,-47.27,-42.35,4.85352,-3.95904
57.15,-57.52,-42.96,4.86328,-3.69510
-45.53,45.84,-12.11,4.91211,-2.37542
24.83,156.75,7.16,4.87305,-3.43117
103.12,-125.62,-13.45,4.79492,-5.54265
-65.84,-50.26,-171.98,4.91211,-2.37542
-98.46,-12.58,-34.73,4.86328,-3.69510
-70.23,128.28,8.75,4.86328,-3.69510
258.00,-37.27,-131.68,4.98047,-0.52787
-20.17,-24.10,-39.18,4.99023,-0.26394
-97.48,57.18,0.76,4.99023,-0.26394
-106.26,-29.65,0.09,4.92187,-2.11149
74.40,-60.32,-76.68,4.84375,-4.22297
-51.27,-4.10,-93.81,5.00000,0.00000
-22.91,-30.69,-58.94,4.87305,-3.43117
62.64,-66.36,6.25,4.94141,-1.58361
15.32,-58.00,-32.66,4.90234,-2.63936
38.98,52.61,-10.22,5.00977,0.26394
-215.65,106.02,-45.46,4.93164,-1.84755
201.29,-74.22,-122.66,4.88281,-3.16723
-116.63,124.37,-1.99,4.98047,-0.52787
-49.56,32.12,15.45,5.10742,2.90329
73.49,2.12,-67.05,4.99023,-0.26394
38.06,-41.91,-52.60,4.98047,-0.52787
-65.59,86.26,-13.94,4.97070,-0.79181
44.59,-56.66,-82.96,4.88281,-3.16723
-177.85,-67.39,138.87,4.91211,-2.37542
29.10,-41.78,2.04,4.87305,-3.43117
-28.58,83.09,-25.95,4.86328,-3.69510
33.92,3.52,-67.05,4.78516,-5.80659
-38.77,43.70,-21.86,4.83398,-4.48691
-98.58,60.41,12.53,4.85352,-3.95904
-60.90,58.15,-8.51,4.98047,-0.52787
-90.41,42.24,22.65,4.95117,-1.31968
-48.83,-5.38,-1.38,4.96094,-1.05574
15.99,68.46,-77.84,5.00977,0.26394
179.22,-46.84,-91.74,4.75586,-6.59840
2.33,11.45,-93.02,4.71680,-7.65414
1.42,39.92,-136.01,4.89258,-2.90329
130.07,131.93,33.74,5.05859,1.58361
-149.50,162.60,71.24,4.95117,-1.31968
-68.22,28.58,39.78,4.95117,-1.31968
-15.17,206.87,-6.19,5.00000,0.00000
-86.39,35.96,27.40,4.92187,-2.11149
-176.75,12.30,-47.11,4.92187,-2.11149
129.22,-24.41,-136.44,4.93164,-1.84755
108.61,-14.04,-79.12,4.94141,-1.58361
15.69,-40.63,-57.29,4.84375,-4.22297
-40.17,94.86,-19.12,4.92187,-2.11149
-79.25,59.80,12.71,5.00000,0.00000
-50.90,65.41,-3.02,4.96094,-1.05574
-31.14,24.68,-4.43,4.93164,-1.84755
17.82,-9.47,-63.27,4.90234,-2.63936
89.53,-12.64,-47.23,4.88281,-3.16723
73.00,80.23,-97.78,4.88281,-3.16723
-78.34,15.65,-11.99,4.96094,-1.05574
45.62,-42.88,-19.91,4.93164,-1.84755
149.83,-55.20,-67.05,4.94141,-1.58361
28.43,3.64,-67.66,4.81445,-5.01478
-79.13,38.34,-13.94,4.91211,-2.37542
47.03,35.84,-43.14,4.85352,-3.95904
45.62,-57.64,-76.68,4.88281,-3.16723
68.43,-23.67,-134.67,4.86328,-3.69510
-71.08,118.70,29.90,4.80469,-5.27872
-8.28,26.45,-58.82,4.90234,-2.63936
82.70,-17.09,-84.49,4.86328,-3.69510
-31.02,76.51,27.71,4.84375,-4.22297
-9.38,0.47,-42.11,4.88281,-3.16723
0.75,30.72,-64.85,4.94141,-1.58361
184.34,-13.06,-75.71,4.89258,-2.90329
-237.12,112.24,31.06,4.87305,-3.43117
-68.40,63.70,61.49,4.93164,-1.84755
128.55,-35.26,-76.01,4.82422,-4.75084
-40.11,-50.26,-1.93,4.89258,-2.90329
-31.33,-28.43,-20.95,4.82422,-4.75084
73.06,15.11,-81.56,4.87305,-3.43117
-81.63,125.41,-16.01,4.90234,-2.63936
56.97,-60.93,-50.34,4.85352,-3.95904
135.62,42.85,-87.72,4.85352,-3.95904
0.81,-34.16,6.55,4.89258,-2.90329
-37.00,0.17,-2.41,4.76562,-6.33446
106.48,-105.62,-26.07,4.85352,-3.95904
24.34,0.90,-35.40,4.95117,-1.31968
-142.42,23.76,3.81,4.85352,-3.95904
45.50,-66.30,-79.73,4.85352,-3.95904
-71.94,43.76,14.54,4.90234,-2.63936
-84.56,-23.00,11.55,4.87305,-3.43117
75.20,-33.19,-37.90,4.85352,-3.95904
-30.72,-29.47,9.23,4.86328,-3.69510
116.11,-27.21,-86.01,4.84375,-4.22297
24.28,7.18,-43.21,4.77539,-6.07052
7.39,49.68,-22.66,4.84375,-4.22297
65.07,-39.28,-60.89,4.87305,-3.43117
-128.40,-54.28,17.22,4.88281,-3.16723
90.14,12.48,-82.17,4.90234,-2.63936
10.32,-3.49,-51.93,4.86328,-3.69510
-157.85,120.90,-26.50,4.89258,-2.90329
232.70,-168.49,-60.46,4.95117,-1.31968
-112.42,33.70,39.72,4.93164,-1.84755
-82.61,121.57,20.33,4.92187,-2.11149
96.60,-29.89,-97.47,4.80469,-5.27872
-128.40,42.54,19.84,4.99023,-0.26394
33.19,26.51,19.17,4.92187,-2.11149
140.56,-91.72,-68.21,4.87305,-3.43117
-111.87,237.18,-32.47,5.15625,4.22297
191.35,-7.39,-35.04,4.93164,-1.84755
78.31,-22.64,-69.30,4.94141,-1.58361
-44.01,97.12,-13.75,5.11719,3.16723
-120.17,135.59,163.99,4.87305,-3.43117
60.08,5.90,-36.01,4.86328,-3.69510
32.70,168.76,-62.35,5.07812,2.11149
-15.47,-4.35,-30.16,4.93164,-1.84755
9.47,9.19,-41.38,4.91211,-2.37542
87.88,-29.95,-68.57,5.00977,0.26394
-12.91,-56.54,-58.27,4.93164,-1.84755
35.56,-44.16,-0.77,4.94141,-1.58361
-220.78,-4.10,37.77,5.12695,3.43117
-148.40,-17.94,-15.16,4.89258,-2.90329
178.31,-7.33,-123.94,4.89258,-2.90329
-444.49,-181.78,111.24,4.91211,-2.37542
242.45,-116.48,-131.74,5.01953,0.52787
20.14,-80.32,-6.32,5.01953,0.52787
195.26,20.47,-235.46,5.03906,1.05574
-32.55,82.36,-37.11,4.94141,-1.58361
322.82,-97.82,-186.56,4.97070,-0.79181
60.62,158.40,-52.66,4.68750,-8.44595
72.76,80.84,-113.81,5.01953,0.52787
-97.97,-68.80,-22.90,4.83398,-4.48691
169.40,-45.50,-111.25,4.83398,-4.48691
-141.57,1.33,42.71,4.87305,-3.43117
146.05,78.70,-78.45,4.99023,-0.26394
-226.57,23.64,-46.62,4.97070,-0.79181
119.04,67.12,-137.29,4.95117,-1.31968
-107.85,-4.35,-1.80,4.82422,-4.75084
61.36,60.29,-78.57,4.86328,-3.69510
-172.54,79.80,50.39,4.82422,-4.75084
255.13,51.02,-128.94,4.89258,-2.90329
0.14,-135.44,-29.12,5.01953,0.52787
-250.41,172.54,-14.43,4.88281,-3.16723
186.78,-147.94,-110.10,4.91211,-2.37542
-38.03,140.41,-29.61,4.81445,-5.01478
51.23,-9.04,-108.14,4.83398,-4.48691
34.83,35.04,26.73,4.90234,-2.63936
175.07,-64.10,-72.05,4.80469,-5.27872
-31.08,192.54,-71.62,4.94141,-1.58361
270.26,-228.37,-228.33,5.01953,0.52787
-91.02,10.11,39.11,5.06836,1.84755
16.29,-9.47,-8.21,5.07812,2.11149
-16.33,-74.89,0.15,4.92187,-2.11149
-61.02,2.24,-12.05,5.24414,6.59840
329.58,-153.00,-125.34,5.07812,2.11149
-56.88,-12.33,31.73,5.02930,0.79181
155.07,-86.23,15.45,5.00977,0.26394
250.50,11.39,-39.61,5.02930,0.79181
-1.94,79.74,26.37,5.00977,0.26394
90.14,-139.77,-31.50,4.98047,-0.52787
-17.55,18.28,-55.95,5.02930,0.79181
41.23,-87.88,-46.44,4.95117,-1.31968
-112.12,-46.11,64.66,5.05859,1.58361
87.57,76.26,-112.05,4.94141,-1.58361
-135.35,58.95,24.78,4.94141,-1.58361
338.55,-70.44,-343.51,4.95117,-1.31968
-14.50,106.51,-30.46,5.00000,0.00000
-540.83,-276.66,3.44,5.07812,2.11149
77.15,-189.65,-91.56,5.06836,1.84755
486.35,-191.97,421.48,5.03906,1.05574
127.64,-59.95,-72.47,5.01953,0.52787
-140.65,94.68,-1.44,5.00977,0.26394
-8.64,-117.94,26.79,5.01953,0.52787
66.78,32.24,43.38,5.00000,0.00000
70.87,-112.58,48.26,5.01953,0.52787
198.00,-219.46,151.30,5.00000,0.00000
-132.06,418.52,-4.30,5.01953,0.52787
-511.26,-345.07,256.36,4.99023,-0.26394
-269.80,-208.73,212.34,5.00000,0.00000
-73.28,285.83,-39.97,4.93164,-1.84755
102.27,-194.89,28.07,4.86328,-3.69510
153.73,39.01,-226.80,4.94141,-1.58361
248.85,-31.84,-86.68,4.92187,-2.11149
223.91,-109.41,-78.08,4.93164,-1.84755
13.12,38.03,-81.80,4.89258,-2.90329
-115.90,192.18,24.35,4.85352,-3.95904
-196.81,-39.83,48.87,5.05859,1.58361
-75.53,97.36,-6.32,4.88281,-3.16723
-139.44,-11.17,2.95,4.94141,-1.58361
-81.51,89.19,-30.40,4.91211,-2.37542
-138.09,112.48,-32.96,4.87305,-3.43117
98.73,-33.55,-41.13,5.09766,2.63936
65.14,-10.50,-103.57,5.06836,1.84755
133.37,41.20,-62.23,4.97070,-0.79181
8.06,63.58,-227.35,4.94141,-1.58361
-304.07,71.14,26.49,4.94141,-1.58361
70.87,22.18,-48.57,4.98047,-0.52787
125.01,253.88,75.02,4.94141,-1.58361
-58.64,-48.31,41.92,4.89258,-2.90329
134.22,0.35,-142.90,5.01953,0.52787
-211.69,72.36,-197.35,4.97070,-0.79181
-77.48,14.80,-74.97,5.02930,0.79181
35.93,48.89,-6.07,5.00000,0.00000
269.71,-110.56,-45.77,5.03906,1.05574
-103.34,99.74,-45.03,4.98047,-0.52787
-30.41,-8.31,-11.01,4.98047,-0.52787
-54.80,138.52,-71.32,5.04883,1.31968
-64.98,184.86,-9.06,4.87305,-3.43117
-29.07,-83.73,11.00,4.98047,-0.52787
-92.67,-439.10,308.38,4.94141,-1.58361
178.06,8.70,-110.89,4.99023,-0.26394
284.28,-183.67,-132.41,4.91211,-2.37542
104.95,4.92,51.00,4.94141,-1.58361
-91.39,-16.54,-11.50,4.95117,-1.31968
-58.46,106.63,-12.35,4.89258,-2.90329
71.78,-1.42,-20.28,4.94141,-1.58361
17.58,-33.61,-54.61,4.94141,-1.58361
233.24,-109.77,-100.58,5.01953,0.52787
-251.69,130.04,26.92,5.00000,0.00000
182.03,106.63,-113.63,5.03906,1.05574
-34.80,10.11,-25.16,5.00000,0.00000
214.65,-108.55,-183.02,5.07812,2.11149
346.17,-53.00,118.32,4.89258,-2.90329
40.32,92.30,-104.18,5.10742,2.90329
-83.03,102.61,-36.74,5.02930,0.79181
57.64,-85.02,-44.30,5.00977,0.26394
332.82,-116.66,-122.47,5.00977,0.26394
-42.55,55.11,-11.01,5.09766,2.63936
235.38,-63.19,-102.41,5.07812,2.11149
-112.67,45.65,-14.06,5.04883,1.31968
-104.31,70.96,20.57,5.15625,4.22297
231.72,-71.36,-125.95,5.04883,1.31968
-21.63,15.04,-99.91,5.03906,1.05574
342.63,-70.93,-202.59,5.03906,1.05574
63.31,32.18,-27.84,5.01953,0.52787
-246.51,-72.33,58.20,5.01953,0.52787
-292.12,433.39,-75.03,5.00977,0.26394
-127.00,148.03,-73.51,4.96094,-1.05574
129.04,-4.41,-24.73,5.01953,0.52787
191.84,141.14,-165.58,4.98047,-0.52787
162.15,-84.16,-145.09,4.94141,-1.58361
-45.47,-85.32,27.16,4.89258,-2.90329
220.32,2.30,-193.45,4.92187,-2.11149
-52.24,-39.41,92.46,5.01953,0.52787
-6.69,231.32,-76.38,5.11719,3.16723
-120.35,-50.38,1.98,4.96094,-1.05574
-149.92,92.85,-26.80,4.97070,-0.79181
-150.90,-29.89,29.72,4.95117,-1.31968
18.98,7.12,-49.73,5.02930,0.79181
300.99,-181.66,-108.27,5.05859,1.58361
-44.62,56.39,-28.57,5.06836,1.84755
-20.35,-33.13,-34.73,5.03906,1.05574
-103.58,109.01,-225.46,5.03906,1.05574
-467.66,-219.46,-11.74,5.03906,1.05574
-130.11,44.01,162.77,5.05859,1.58361
74.47,-113.73,-3.88,5.10742,2.90329
351.84,-209.40,-56.25,4.93164,-1.84755
58.98,19.31,-40.71,5.04883,1.31968
38.98,5.41,-9.24,5.08789,2.37542
-148.89,116.51,-32.90,4.88281,-3.16723
21.72,-27.76,-4.06,4.98047,-0.52787
-26.94,-70.38,2.65,4.98047,-0.52787
174.46,-125.93,12.34,5.00977,0.26394
-109.07,18.76,35.76,5.02930,0.79181
52.82,47.54,-39.12,5.02930,0.79181
-160.72,-123.37,120.33,5.01953,0.52787
33.49,10.78,-88.08,5.03906,1.05574
392.57,-158.98,-128.14,5.05859,1.58361
131.11,-244.59,-214.85,5.01953,0.52787
-7.12,-19.71,-11.86,5.05859,1.58361
-11.69,-52.88,-105.52,5.02930,0.79181
-32.24,54.98,-32.29,5.00977,0.26394
227.57,-28.00,-137.23,5.00000,0.00000
-17.36,30.29,-6.74,5.18555,5.01478
181.48,-128.55,-54.12,5.11719,3.16723
-32.49,14.44,-35.28,5.10742,2.90329
-138.15,-27.58,16.12,5.11719,3.16723
82.70,13.09,-42.72,5.05859,1.58361
-144.56,198.64,-19.91,4.96094,-1.05574
76.78,-113.06,-28.02,5.04883,1.31968
-88.40,-72.94,44.60,5.15625,4.22297
-14.99,433.21,-253.63,5.06836,1.84755
64.34,261.75,-288.02,5.00000,0.00000
-66.39,102.30,-33.02,5.00977,0.26394
161.78,85.04,-38.57,5.09766,2.63936
152.57,-61.30,-38.51,5.08789,2.37542
87.82,-42.03,-53.88,5.06836,1.84755
-56.51,25.04,0.88,5.03906,1.05574
-3.58,-45.63,-10.58,5.10742,2.90329
160.62,-94.22,-3.51,5.08789,2.37542
-311.69,21.45,45.09,5.10742,2.90329
21.36,80.53,-81.32,5.07812,2.11149
101.29,189.07,-177.53,5.08789,2.37542
41.29,334.19,-82.29,5.08789,2.37542
-208.22,-177.27,80.94,5.08789,2.37542
