0,1,2,3,4,5
-19.30,1.74,-12.01,4.94141,-1.58361,24.00
-46.07,9.49,8.48,4.93164,-1.84755,24.00
3.45,-4.17,14.88,4.93164,-1.84755,24.00
-21.00,-7.53,13.84,4.89258,-2.90329,24.00
-5.82,4.67,-18.90,4.92187,-2.11149,24.00
-34.48,5.70,11.16,4.93164,-1.84755,24.00
1.19,-1.92,15.92,4.95117,-1.31968,24.00
-6.19,-8.50,-3.17,4.96094,-1.05574,24.00
-28.14,6.25,10.86,4.95117,-1.31968,24.00
-1.43,9.67,10.31,4.93164,-1.84755,24.00
-27.10,-6.92,10.86,4.95117,-1.31968,24.00
-21.31,4.00,1.95,4.91211,-2.37542,24.00
-28.50,6.25,-2.50,4.93164,-1.84755,24.00
4.85,-16.61,15.92,4.92187,-2.11149,24.00
-25.15,5.10,17.56,4.92187,-2.11149,24.00
-27.35,4.61,1.71,4.92187,-2.11149,24.00
1.92,-8.50,-10.85,4.95117,-1.31968,24.00
-16.86,6.13,1.47,4.94141,-1.58361,24.00
4.12,0.22,10.86,4.92187,-2.11149,24.00
-4.11,-16.73,24.21,4.95117,-1.31968,24.00
-38.26,6.31,13.30,4.92187,-2.11149,24.00
-7.77,12.96,-9.02,4.94141,-1.58361,24.00
-7.41,-8.44,-3.23,4.91211,-2.37542,24.00
6.74,0.95,5.55,4.90234,-2.63936,24.00
-24.30,10.22,4.27,4.91211,-2.37542,24.00
-3.57,-12.95,7.20,4.96094,-1.05574,24.00
-2.04,1.74,-11.76,4.92187,-2.11149,24.00
-4.60,11.07,0.55,4.92187,-2.11149,24.00
6.31,-8.62,10.13,4.95117,-1.31968,24.00
-14.72,-0.39,18.66,4.90234,-2.63936,24.00
-34.05,11.50,17.14,4.92187,-2.11149,24.00
-24.79,-1.37,7.26,4.95117,-1.31968,24.00
-1.13,-5.15,-2.37,4.95117,-1.31968,24.00
-20.94,8.27,8.42,4.94141,-1.58361,24.00
8.14,-1.37,8.24,4.96094,-1.05574,24.00
4.06,-14.23,12.50,4.93164,-1.84755,24.00
-24.36,1.80,11.47,4.92187,-2.11149,24.00
-7.16,4.49,3.11,4.94141,-1.58361,24.00
-4.36,-2.59,-7.92,4.92187,-2.11149,24.00
-14.72,-10.33,7.38,4.96094,-1.05574,24.00
-0.15,8.45,7.02,4.93164,-1.84755,24.00
8.02,-2.34,6.22,4.93164,-1.84755,24.00
9.60,-13.01,5.92,4.94141,-1.58361,24.00
-12.41,-2.10,18.36,4.98047,-0.52787,24.00
-19.11,9.36,2.99,4.92187,-2.11149,24.00
-8.63,-2.53,-7.25,4.92187,-2.11149,24.00
-20.27,-7.89,5.80,4.97070,-0.79181,24.00
-3.50,2.35,1.04,4.88281,-3.16723,24.00
-12.96,12.78,14.21,4.96094,-1.05574,24.00
-18.26,1.68,13.66,4.98047,-0.52787,24.00
-7.96,-8.50,-1.46,4.92187,-2.11149,24.00
-7.90,5.83,-3.35,4.93164,-1.84755,24.00
-6.61,10.83,-9.14,4.95117,-1.31968,24.00
-11.92,-0.64,5.74,4.92187,-2.11149,24.00
6.31,-12.28,-0.24,4.93164,-1.84755,24.00
3.14,-0.21,9.27,4.93164,-1.84755,24.00
-6.55,10.52,12.32,4.91211,-2.37542,24.00
-17.77,-2.16,21.28,4.95117,-1.31968,24.00
-13.69,-7.59,18.78,4.94141,-1.58361,24.00
-29.18,3.20,3.11,4.94141,-1.58361,24.00
-18.32,12.66,0.67,4.92187,-2.11149,24.00
-8.08,-5.51,2.44,4.95117,-1.31968,24.00
4.73,-9.72,-3.53,4.95117,-1.31968,24.00
-21.55,3.33,6.65,4.94141,-1.58361,24.00
-3.32,8.69,5.06,4.94141,-1.58361,24.00
3.87,-6.12,3.91,4.97070,-0.79181,24.00
-1.37,-13.93,12.26,4.96094,-1.05574,24.00
-4.66,0.22,18.36,4.96094,-1.05574,24.00
-27.29,9.55,21.10,4.95117,-1.31968,24.00
-12.10,-1.86,29.45,4.95117,-1.31968,24.00
-13.81,-2.77,27.26,4.95117,-1.31968,24.00
-26.68,4.49,11.71,4.94141,-1.58361,24.00
-26.92,12.41,22.20,4.94141,-1.58361,24.00
-18.99,7.53,22.69,4.95117,-1.31968,24.00
-11.55,-7.59,19.27,4.94141,-1.58361,24.00
-11.61,-3.44,32.26,4.97070,-0.79181,24.00
-25.58,10.58,20.61,4.93164,-1.84755,24.00
-22.59,11.62,2.75,4.92187,-2.11149,24.00
-2.47,0.34,-8.59,4.93164,-1.84755,24.00
-6.80,-6.61,-7.56,4.97070,-0.79181,24.00
-10.94,3.02,-11.34,4.96094,-1.05574,24.00
-19.85,10.16,-11.52,4.95117,-1.31968,24.00
-13.44,-2.65,8.78,4.96094,-1.05574,24.00
-12.83,-9.42,-10.67,4.94141,-1.58361,24.00
-15.15,-2.47,7.99,4.95117,-1.31968,24.00
-3.81,0.28,5.19,4.96094,-1.05574,24.00
-22.16,0.70,9.58,4.93164,-1.84755,24.00
6.37,-5.82,8.78,4.96094,-1.05574,24.00
-2.53,-8.75,12.56,5.04883,1.31968,24.00
-26.31,7.11,16.16,4.90234,-2.63936,24.00
-37.65,13.39,13.97,4.97070,-0.79181,24.00
-20.46,6.13,1.22,4.95117,-1.31968,24.00
-5.33,-4.42,2.02,4.95117,-1.31968,24.00
-23.20,-5.27,10.37,4.94141,-1.58361,24.00
-14.48,5.83,-1.95,4.96094,-1.05574,24.00
-6.86,12.41,-15.06,4.91211,-2.37542,24.00
-3.57,2.35,-10.73,4.94141,-1.58361,24.00
1.07,-0.45,-13.29,4.96094,-1.05574,24.00
-10.70,-1.49,-7.19,4.94141,-1.58361,24.00
-10.33,6.25,-12.01,4.93164,-1.84755,24.00
-22.10,11.92,-12.98,4.92187,-2.11149,24.00
-16.13,6.01,-13.17,4.94141,-1.58361,24.00
-0.58,-9.23,-16.52,4.94141,-1.58361,24.00
-14.18,-11.67,9.70,4.94141,-1.58361,24.00
-11.49,6.62,-1.03,4.97070,-0.79181,24.00
0.40,11.50,0.06,4.95117,-1.31968,24.00
3.63,-1.80,1.89,4.97070,-0.79181,24.00
-1.43,-11.67,2.08,4.93164,-1.84755,24.00
-0.88,-4.42,11.77,4.93164,-1.84755,24.00
-8.32,3.94,21.16,4.97070,-0.79181,24.00
-4.79,7.11,20.00,4.93164,-1.84755,24.00
-15.64,-1.49,21.34,4.97070,-0.79181,24.00
-16.68,-6.49,13.66,4.93164,-1.84755,24.00
-21.98,1.38,8.85,4.94141,-1.58361,24.00
-35.82,12.29,16.65,4.96094,-1.05574,24.00
-36.00,15.58,3.97,4.93164,-1.84755,24.00
-16.80,4.06,6.10,4.92187,-2.11149,24.00
1.37,-10.27,0.61,4.94141,-1.58361,24.00
0.76,-3.75,-8.41,4.93164,-1.84755,24.00
-3.02,10.03,-14.45,4.93164,-1.84755,24.00
-20.15,11.92,-3.72,4.91211,-2.37542,24.00
-1.00,-0.39,7.14,4.98047,-0.52787,24.00
-9.24,-9.66,10.06,4.92187,-2.11149,24.00
-9.97,-6.25,4.58,4.89258,-2.90329,24.00
-9.97,7.72,-12.68,4.98047,-0.52787,24.00
-14.60,10.46,-6.64,4.89258,-2.90329,24.00
-15.58,-2.10,8.85,4.96094,-1.05574,24.00
-12.83,-11.06,2.32,4.92187,-2.11149,24.00
-5.15,-11.25,2.87,4.95117,-1.31968,24.00
-20.76,-1.86,16.10,4.95117,-1.31968,24.00
-10.52,12.78,14.03,4.96094,-1.05574,24.00
-19.91,6.07,17.38,4.94141,-1.58361,24.00
-14.48,-1.12,7.63,4.92187,-2.11149,24.00
-10.94,-6.67,4.88,4.95117,-1.31968,24.00
-18.93,4.61,4.09,4.89258,-2.90329,24.00
-9.36,8.02,-5.91,4.97070,-0.79181,24.00
-1.61,3.75,-11.58,4.92187,-2.11149,24.00
-19.60,-1.67,-6.76,4.94141,-1.58361,24.00
3.51,-14.29,1.71,4.93164,-1.84755,24.00
5.64,-4.78,7.63,4.95117,-1.31968,24.00
-8.63,7.84,13.42,4.92187,-2.11149,24.00
-20.70,11.74,18.84,4.94141,-1.58361,24.00
-19.18,1.19,12.93,4.91211,-2.37542,24.00
-19.05,-6.37,12.26,4.94141,-1.58361,24.00
-12.10,-12.28,21.28,4.96094,-1.05574,24.00
-13.08,3.33,8.48,4.94141,-1.58361,24.00
-22.77,6.99,8.78,4.97070,-0.79181,24.00
-12.53,9.24,1.04,4.92187,-2.11149,24.00
-0.76,1.38,-3.59,4.99023,-0.26394,24.00
-5.27,-10.82,-5.91,4.95117,-1.31968,24.00
-12.35,-2.28,-3.59,4.98047,-0.52787,24.00
-8.99,1.44,-0.30,4.97070,-0.79181,24.00
-6.80,4.61,16.22,4.88281,-3.16723,24.00
-8.38,-4.72,16.04,4.95117,-1.31968,24.00
-30.94,-0.27,15.19,4.90234,-2.63936,24.00
-7.41,-8.26,13.24,4.97070,-0.79181,24.00
5.21,-10.03,22.75,4.94141,-1.58361,24.00
-12.77,-20.39,2.02,5.00977,0.26394,24.00
-5.82,-8.93,5.86,4.85352,-3.95904,24.00
-11.92,-14.84,7.32,4.92187,-2.11149,24.00
0.15,1.80,5.74,4.93164,-1.84755,24.00
-17.53,17.11,-4.81,4.90234,-2.63936,24.00
-25.33,17.72,13.66,4.92187,-2.11149,24.00
-0.03,5.16,-3.90,4.95117,-1.31968,24.00
17.35,-6.31,1.35,4.90234,-2.63936,24.00
11.68,-8.38,9.39,4.93164,-1.84755,24.00
-3.20,1.74,7.44,4.89258,-2.90329,24.00
-10.33,2.23,22.87,4.90234,-2.63936,24.00
-9.79,-4.05,22.69,4.91211,-2.37542,24.00
-9.54,-13.26,5.67,4.93164,-1.84755,24.00
-16.31,9.91,-7.86,4.95117,-1.31968,24.00
-25.09,12.17,5.55,4.93164,-1.84755,24.00
-19.30,-5.45,2.20,4.97070,-0.79181,24.00
-20.52,-9.48,12.44,4.92187,-2.11149,24.00
7.47,4.00,6.77,4.91211,-2.37542,24.00
-3.14,0.10,0.13,4.97070,-0.79181,24.00
-7.35,-10.33,1.83,4.92187,-2.11149,24.00
-10.64,1.56,2.99,4.97070,-0.79181,24.00
-3.26,4.49,-6.09,4.89258,-2.90329,24.00
-10.94,3.14,3.05,4.93164,-1.84755,24.00
-19.42,2.17,12.81,4.94141,-1.58361,24.00
-9.30,8.02,4.58,4.93164,-1.84755,24.00
4.30,-1.49,-3.78,4.89258,-2.90329,24.00
10.76,-8.93,-0.85,4.94141,-1.58361,24.00
-20.76,4.00,4.52,4.90234,-2.63936,24.00
3.75,13.94,-5.55,4.95117,-1.31968,24.00
-11.19,-10.64,-6.46,4.97070,-0.79181,24.00
-2.77,3.94,12.14,4.94141,-1.58361,24.00
-14.91,10.64,-1.28,4.95117,-1.31968,24.00
-7.96,-3.26,-1.76,4.98047,-0.52787,24.00
7.78,-10.39,-2.98,4.98047,-0.52787,24.00
-28.20,3.14,15.61,4.94141,-1.58361,24.00
-3.38,6.99,12.32,4.97070,-0.79181,24.00
-21.25,5.34,1.95,4.94141,-1.58361,24.00
-14.85,-3.08,3.78,4.95117,-1.31968,24.00
-12.59,-10.94,16.04,4.97070,-0.79181,24.00
0.40,-1.55,16.89,4.92187,-2.11149,24.00
-29.42,7.47,19.58,4.93164,-1.84755,24.00
-13.57,0.89,-3.35,4.99023,-0.26394,24.00
-11.19,-5.58,1.22,4.94141,-1.58361,24.00
-17.16,9.18,5.19,4.96094,-1.05574,24.00
-14.18,7.47,11.04,4.93164,-1.84755,24.00
0.89,-6.12,6.95,4.97070,-0.79181,24.00
7.90,-16.98,17.99,4.95117,-1.31968,24.00
4.24,2.53,12.50,4.92187,-2.11149,24.00
-7.59,0.52,14.58,4.93164,-1.84755,24.00
7.53,-9.23,15.55,4.94141,-1.58361,24.00
-12.65,-11.61,11.71,4.99023,-0.26394,24.00
-25.09,6.07,12.87,4.94141,-1.58361,24.00
-21.74,-0.64,14.03,4.94141,-1.58361,24.00
-17.65,-6.31,8.66,4.92187,-2.11149,24.00
-5.76,-0.70,-0.97,4.92187,-2.11149,24.00
-14.79,10.40,4.94,4.95117,-1.31968,24.00
-13.87,0.10,3.17,4.92187,-2.11149,24.00
3.02,-9.54,16.10,4.93164,-1.84755,24.00
-10.46,6.92,16.71,4.92187,-2.11149,24.00
-19.42,9.61,0.13,4.93164,-1.84755,24.00
-0.15,-1.19,-5.55,4.96094,-1.05574,24.00
3.08,-11.06,-13.29,4.91211,-2.37542,24.00
-14.48,5.52,7.14,4.89258,-2.90329,24.00
-14.66,5.58,5.31,4.95117,-1.31968,24.00
9.24,-12.28,15.49,4.94141,-1.58361,24.00
0.28,-10.82,19.39,4.93164,-1.84755,24.00
-28.14,8.81,5.19,4.91211,-2.37542,24.00
-4.54,8.63,-3.35,4.92187,-2.11149,24.00
-2.96,-4.60,-3.11,4.94141,-1.58361,24.00
-4.91,1.92,-0.36,4.95117,-1.31968,24.00
-20.82,13.88,-6.83,4.92187,-2.11149,24.00
-21.25,3.33,-3.35,4.98047,-0.52787,24.00
-14.85,-8.38,5.13,4.89258,-2.90329,24.00
-18.32,1.01,6.59,4.91211,-2.37542,24.00
-11.80,10.95,4.94,4.92187,-2.11149,24.00
-0.88,2.17,8.48,4.91211,-2.37542,24.00
8.14,-7.16,10.92,4.95117,-1.31968,24.00
-2.71,-5.88,18.60,4.91211,-2.37542,24.00
-4.18,6.68,14.94,4.89258,-2.90329,24.00
-5.76,11.92,12.69,4.95117,-1.31968,24.00
-14.85,-3.93,19.21,4.91211,-2.37542,24.00
-14.05,-6.92,13.48,4.94141,-1.58361,24.00
0.34,-0.58,5.06,4.92187,-2.11149,24.00
-8.93,11.07,-8.17,4.90234,-2.63936,24.00
-12.83,-0.88,-6.03,4.94141,-1.58361,24.00
-15.52,-3.87,11.47,4.94141,-1.58361,24.00
-3.69,2.47,5.19,4.88281,-3.16723,24.00
-15.76,12.23,13.30,4.90234,-2.63936,24.00
-5.46,-3.75,16.16,4.90234,-2.63936,24.00
-14.30,-12.65,20.25,4.93164,-1.84755,24.00
-24.97,6.80,9.52,4.87305,-3.43117,24.00
-19.18,15.70,-2.56,4.90234,-2.63936,24.00
2.29,-4.42,-1.95,4.90234,-2.63936,24.00
-8.63,-7.22,4.82,4.92187,-2.11149,24.00
-16.98,7.84,-1.89,4.92187,-2.11149,24.00
-10.64,14.79,-7.25,4.89258,-2.90329,24.00
-1.00,-3.32,-14.51,4.92187,-2.11149,24.00
-2.47,-6.31,-7.80,4.90234,-2.63936,24.00
-18.38,4.97,-6.52,4.89258,-2.90329,24.00
-23.38,10.70,-10.97,4.93164,-1.84755,24.00
-24.11,8.45,3.60,4.91211,-2.37542,24.00
-3.57,-7.83,10.49,4.89258,-2.90329,24.00
7.71,-8.50,10.86,4.95117,-1.31968,24.00
3.26,6.38,4.58,4.93164,-1.84755,24.00
0.34,6.19,5.61,4.95117,-1.31968,24.00
-8.63,-11.25,14.82,4.89258,-2.90329,24.00
-12.41,-12.16,14.70,4.90234,-2.63936,24.00
-12.16,6.50,3.11,4.89258,-2.90329,24.00
-25.21,10.40,-6.09,4.91211,-2.37542,24.00
-17.53,-6.98,-3.05,4.96094,-1.05574,24.00
-10.46,-12.65,-1.89,4.91211,-2.37542,24.00
-16.43,-8.56,4.52,4.94141,-1.58361,24.00
-24.05,9.61,-8.41,4.94141,-1.58361,24.00
-14.48,13.63,-9.45,4.89258,-2.90329,24.00
-21.86,1.13,-3.47,4.91211,-2.37542,24.00
-14.30,-10.21,-4.51,4.91211,-2.37542,24.00
-6.61,-11.00,-4.14,4.98047,-0.52787,24.00
-13.57,13.57,-7.44,4.92187,-2.11149,24.00
-17.35,11.25,-0.91,4.95117,-1.31968,24.00
1.43,-0.21,5.00,4.93164,-1.84755,24.00
7.10,-10.88,11.35,4.98047,-0.52787,24.00
9.42,-14.60,14.15,4.94141,-1.58361,24.00
-8.32,5.10,14.52,4.93164,-1.84755,24.00
-20.88,8.81,16.16,4.94141,-1.58361,24.00
-19.30,-2.71,18.91,4.93164,-1.84755,24.00
-14.18,-2.65,18.91,4.91211,-2.37542,24.00
-15.03,-8.08,13.30,4.98047,-0.52787,24.00
-0.88,5.03,-0.18,4.92187,-2.11149,24.00
-8.63,7.84,-11.95,4.93164,-1.84755,24.00
-9.24,9.06,-14.26,4.89258,-2.90329,24.00
-16.00,-2.53,-2.01,4.91211,-2.37542,24.00
-13.99,-13.20,2.99,4.93164,-1.84755,24.00
-13.08,0.77,11.77,4.96094,-1.05574,24.00
-22.89,6.74,-2.74,4.96094,-1.05574,24.00
-24.24,10.52,-13.72,4.92187,-2.11149,24.00
-15.21,3.33,-6.58,4.95117,-1.31968,24.00
1.98,-11.37,23.97,4.91211,-2.37542,24.00
0.82,-9.78,5.43,4.96094,-1.05574,24.00
-11.49,7.35,5.74,4.91211,-2.37542,24.00
-24.42,4.79,3.48,4.94141,-1.58361,24.00
-24.18,6.80,-8.90,4.90234,-2.63936,24.00
-17.35,-5.21,-7.80,4.92187,-2.11149,24.00
-0.21,-7.40,-7.98,4.91211,-2.37542,24.00
-8.81,2.53,-2.62,4.91211,-2.37542,24.00
-6.74,6.44,20.49,4.89258,-2.90329,24.00
-14.72,13.69,3.48,4.94141,-1.58361,24.00
1.01,-4.60,0.92,4.93164,-1.84755,24.00
-1.49,-8.14,8.60,4.90234,-2.63936,24.00
-19.11,-3.14,1.22,4.97070,-0.79181,24.00
-9.66,2.84,-12.01,4.92187,-2.11149,24.00
-15.64,9.36,-5.55,4.97070,-0.79181,24.00
-27.47,12.17,0.06,4.94141,-1.58361,24.00
-14.05,-4.54,2.81,4.93164,-1.84755,24.00
-6.19,-7.47,2.93,4.90234,-2.63936,24.00
-12.71,-11.37,3.36,5.00000,0.00000,24.00
-13.99,7.96,1.47,4.94141,-1.58361,24.00
-25.33,13.20,3.54,4.91211,-2.37542,24.00
-19.05,13.63,1.53,4.93164,-1.84755,24.00
-16.74,-3.38,4.03,4.93164,-1.84755,24.00
-20.21,-3.32,13.48,4.93164,-1.84755,24.00
-4.54,-11.37,2.20,4.95117,-1.31968,24.00
-2.41,2.11,-0.12,4.89258,-2.90329,24.00
-7.96,4.73,-3.78,4.93164,-1.84755,24.00
-6.61,11.13,-9.02,4.95117,-1.31968,24.00
0.34,2.35,-11.83,4.92187,-2.11149,24.00
-5.03,-4.42,-2.56,4.96094,-1.05574,24.00
11.01,-13.87,-1.89,4.95117,-1.31968,24.00
-3.32,-7.71,1.16,4.98047,-0.52787,24.00
-18.44,8.20,8.17,4.95117,-1.31968,24.00
-13.81,14.85,18.17,4.99023,-0.26394,24.00
-21.37,14.79,15.55,4.94141,-1.58361,24.00
-9.11,4.06,13.24,4.91211,-2.37542,24.00
-7.29,-6.06,17.69,4.93164,-1.84755,24.00
0.58,-8.50,16.65,4.91211,-2.37542,24.00
-18.26,-5.45,15.37,5.00000,0.00000,24.00
-19.72,8.69,17.63,4.93164,-1.84755,24.00
